,Kierunek wiatru,Możliwość opadów śniegu,Opad atmosferyczny,Podmuchy wiatru,Pogoda,Prędkość wiatru,Siła wiatru,Temperatura,Widoczność,Wilgotność,Zachmurzenie,Time
0,NW,0%,0 mm,34.2Km/h,Częściowe zachmurzenie,20.9Km/h,305°,"2,2°  C",10 Km,75%,19%,2020-01-01 00:00:00
1,WNW,0%,0 mm,32.5Km/h,Częściowe zachmurzenie,19.9Km/h,303°,"1,9°  C",10 Km,77%,17%,2020-01-01 01:00:00
2,WNW,0%,0 mm,30.8Km/h,Częściowe zachmurzenie,19Km/h,302°,"1,7°  C",10 Km,78%,15%,2020-01-01 02:00:00
3,WNW,0%,0 mm,29.2Km/h,Częściowe zachmurzenie,18Km/h,300°,"1,4°  C",10 Km,79%,12%,2020-01-01 03:00:00
4,WNW,0%,0 mm,27.4Km/h,Częściowe zachmurzenie,16.8Km/h,297°,"1,1°  C",10 Km,81%,11%,2020-01-01 04:00:00
5,WNW,0%,0 mm,25.6Km/h,Częściowe zachmurzenie,15.6Km/h,294°,"0,8°  C",10 Km,82%,10%,2020-01-01 05:00:00
6,WNW,0%,0 mm,23.8Km/h,Częściowe zachmurzenie,14.4Km/h,291°,"0,5°  C",10 Km,84%,9%,2020-01-01 06:00:00
7,WNW,0%,0 mm,22.9Km/h,Częściowe zachmurzenie,14.4Km/h,286°,"0,6°  C",10 Km,84%,14%,2020-01-01 07:00:00
8,W,0%,0 mm,22.1Km/h,Częściowe zachmurzenie,14.4Km/h,280°,"0,6°  C",10 Km,84%,18%,2020-01-01 08:00:00
9,W,0%,0 mm,21.2Km/h,Częściowe zachmurzenie,14.4Km/h,275°,"0,7°  C",10 Km,84%,22%,2020-01-01 09:00:00
10,W,0%,0 mm,21.8Km/h,Częściowe zachmurzenie,15.2Km/h,275°,"0,9°  C",10 Km,84%,40%,2020-01-01 10:00:00
11,W,0%,0 mm,22.4Km/h,Częściowe zachmurzenie,16.1Km/h,275°,"1,2°  C",10 Km,83%,58%,2020-01-01 11:00:00
12,W,0%,0 mm,23Km/h,Częściowe zachmurzenie,16.9Km/h,275°,"1,4°  C",10 Km,83%,76%,2020-01-01 12:00:00
13,W,0%,0 mm,23.4Km/h,Częściowe zachmurzenie,17.2Km/h,276°,"1,4°  C",10 Km,84%,84%,2020-01-01 13:00:00
14,W,0%,0 mm,23.8Km/h,Pochmurno,17.4Km/h,277°,"1,4°  C",10 Km,84%,92%,2020-01-01 14:00:00
15,W,0%,0 mm,24.1Km/h,Pochmurno,17.6Km/h,278°,"1,4°  C",10 Km,85%,100%,2020-01-01 15:00:00
16,W,0%,0 mm,24.1Km/h,Pochmurno,17.4Km/h,277°,"0,5°  C",10 Km,84%,97%,2020-01-01 16:00:00
17,W,0%,0 mm,24.1Km/h,Pochmurno,17.2Km/h,275°,(-0.5)°  C,10 Km,84%,95%,2020-01-01 17:00:00
18,W,0%,0 mm,24.1Km/h,Pochmurno,16.9Km/h,274°,(-1.4)°  C,10 Km,84%,92%,2020-01-01 18:00:00
19,W,0%,0 mm,24.6Km/h,Pochmurno,17.2Km/h,272°,(-3.2)°  C,10 Km,85%,93%,2020-01-01 19:00:00
20,W,0%,0 mm,25.1Km/h,Pochmurno,17.4Km/h,269°,(-4.9)°  C,10 Km,85%,94%,2020-01-01 20:00:00
21,W,0%,0 mm,25.6Km/h,Pochmurno,17.6Km/h,267°,(-6.7)°  C,10 Km,86%,95%,2020-01-01 21:00:00
22,W,0%,0 mm,24.8Km/h,Pochmurno,17Km/h,268°,(-4.9)°  C,10 Km,86%,82%,2020-01-01 22:00:00
23,W,0%,0 mm,24.1Km/h,Zachmurzenie,16.4Km/h,270°,(-3)°  C,10 Km,86%,69%,2020-01-01 23:00:00
24,E,0%,0 mm,5.4Km/h,Częściowe zachmurzenie,3.6Km/h,80°,"2,3°  C",10 Km,88%,3%,2021-01-01 00:00:00
25,ENE,0%,0 mm,6.1Km/h,Częściowe zachmurzenie,4Km/h,78°,"2,1°  C",10 Km,89%,4%,2021-01-01 01:00:00
26,ENE,0%,0 mm,6.8Km/h,Częściowe zachmurzenie,4.3Km/h,76°,"1,8°  C",10 Km,89%,4%,2021-01-01 02:00:00
27,ENE,0%,0 mm,7.6Km/h,Częściowe zachmurzenie,4.7Km/h,74°,"1,6°  C",10 Km,89%,5%,2021-01-01 03:00:00
28,ENE,0%,0 mm,7.7Km/h,Częściowe zachmurzenie,4.8Km/h,76°,"1,5°  C",10 Km,89%,5%,2021-01-01 04:00:00
29,ENE,0%,0 mm,7.8Km/h,Częściowe zachmurzenie,4.9Km/h,78°,"1,3°  C",10 Km,89%,5%,2021-01-01 05:00:00
30,E,0%,0 mm,7.9Km/h,Częściowe zachmurzenie,5Km/h,81°,"1,2°  C",10 Km,89%,6%,2021-01-01 06:00:00
31,E,0%,0 mm,6.6Km/h,Częściowe zachmurzenie,4.3Km/h,82°,"1,5°  C",10 Km,86%,5%,2021-01-01 07:00:00
32,E,0%,0 mm,5.3Km/h,Częściowe zachmurzenie,3.6Km/h,84°,"1,8°  C",10 Km,84%,5%,2021-01-01 08:00:00
33,E,0%,0 mm,4Km/h,Częściowe zachmurzenie,2.9Km/h,86°,"2,1°  C",10 Km,82%,4%,2021-01-01 09:00:00
34,ENE,0%,0 mm,3.2Km/h,Częściowe zachmurzenie,2.4Km/h,67°,"2,6°  C",10 Km,80%,4%,2021-01-01 10:00:00
35,NE,0%,0 mm,2.5Km/h,Częściowe zachmurzenie,1.9Km/h,49°,3°  C,10 Km,77%,3%,2021-01-01 11:00:00
36,NNE,0%,0 mm,1.8Km/h,Częściowe zachmurzenie,1.4Km/h,30°,"3,5°  C",10 Km,75%,3%,2021-01-01 12:00:00
37,NE,0%,0 mm,2.5Km/h,Częściowe zachmurzenie,1.8Km/h,48°,"3,2°  C",10 Km,76%,3%,2021-01-01 13:00:00
38,ENE,0%,0 mm,3.2Km/h,Częściowe zachmurzenie,2.2Km/h,66°,3°  C,10 Km,78%,4%,2021-01-01 14:00:00
39,E,0%,0 mm,4Km/h,Częściowe zachmurzenie,2.5Km/h,85°,"2,7°  C",10 Km,79%,5%,2021-01-01 15:00:00
40,ESE,0%,0 mm,5.8Km/h,Częściowe zachmurzenie,3.5Km/h,103°,"2,3°  C",10 Km,80%,10%,2021-01-01 16:00:00
41,ESE,0%,0 mm,7.6Km/h,Częściowe zachmurzenie,4.4Km/h,121°,"1,8°  C",10 Km,81%,15%,2021-01-01 17:00:00
42,SE,0%,0 mm,9.4Km/h,Częściowe zachmurzenie,5.4Km/h,139°,"1,4°  C",10 Km,83%,20%,2021-01-01 18:00:00
43,SSE,0%,0 mm,10.9Km/h,Częściowe zachmurzenie,6.2Km/h,146°,"1,2°  C",10 Km,83%,21%,2021-01-01 19:00:00
44,SSE,0%,0 mm,12.5Km/h,Częściowe zachmurzenie,7.1Km/h,154°,1°  C,10 Km,83%,22%,2021-01-01 20:00:00
45,SSE,0%,0 mm,14Km/h,Częściowe zachmurzenie,7.9Km/h,162°,"0,8°  C",10 Km,83%,23%,2021-01-01 21:00:00
46,SSE,0%,0 mm,14.8Km/h,Częściowe zachmurzenie,8.2Km/h,167°,"0,5°  C",10 Km,85%,38%,2021-01-01 22:00:00
47,S,0%,0 mm,15.5Km/h,Pochmurno,8.4Km/h,173°,"0,1°  C",10 Km,87%,52%,2021-01-01 23:00:00
48,WSW,0%,"0,1 mm",45.7Km/h,Lekka mżawka,27.4Km/h,257°,"9,1°  C",2 Km,89%,100%,2022-01-01 00:00:00
49,W,0%,"0,0 mm",44.5Km/h,Lekka mżawka,26.9Km/h,259°,"9,1°  C",4.7 Km,89%,100%,2022-01-01 01:00:00
50,W,0%,0 mm,43.3Km/h,Pochmurno,26.4Km/h,262°,"9,2°  C",7.3 Km,89%,100%,2022-01-01 02:00:00
51,W,0%,0 mm,42.1Km/h,Pochmurno,25.9Km/h,264°,"9,2°  C",10 Km,89%,100%,2022-01-01 03:00:00
52,W,0%,0 mm,42Km/h,Pochmurno,26Km/h,267°,"9,2°  C",10 Km,89%,100%,2022-01-01 04:00:00
53,W,0%,"0,0 mm",41.9Km/h,Możliwe przelotne deszcze,26.2Km/h,269°,"9,3°  C",10 Km,89%,100%,2022-01-01 05:00:00
54,W,0%,"0,0 mm",41.8Km/h,Możliwe przelotne deszcze,26.3Km/h,271°,"9,3°  C",10 Km,89%,100%,2022-01-01 06:00:00
55,W,0%,"0,0 mm",41.6Km/h,Możliwe przelotne deszcze,26.4Km/h,273°,"9,3°  C",7.3 Km,90%,100%,2022-01-01 07:00:00
56,W,0%,"0,1 mm",41.5Km/h,Lekka mżawka,26.5Km/h,274°,"9,3°  C",4.7 Km,90%,100%,2022-01-01 08:00:00
57,W,0%,"0,1 mm",41.4Km/h,Lekka mżawka,26.6Km/h,276°,"9,3°  C",2 Km,90%,100%,2022-01-01 09:00:00
58,WNW,0%,"0,0 mm",39.4Km/h,Lekka mżawka,25.7Km/h,282°,"9,4°  C",4.7 Km,90%,100%,2022-01-01 10:00:00
59,WNW,0%,"0,0 mm",37.3Km/h,Możliwe przelotne deszcze,24.7Km/h,288°,"9,4°  C",7.3 Km,89%,100%,2022-01-01 11:00:00
60,WNW,0%,"0,0 mm",35.3Km/h,Możliwe przelotne deszcze,23.8Km/h,294°,"9,5°  C",10 Km,88%,100%,2022-01-01 12:00:00
61,WNW,0%,"0,0 mm",33.1Km/h,Możliwe przelotne deszcze,22.4Km/h,295°,"9,2°  C",10 Km,86%,97%,2022-01-01 13:00:00
62,WNW,0%,0 mm,31Km/h,Pochmurno,21.1Km/h,296°,"8,8°  C",10 Km,85%,93%,2022-01-01 14:00:00
63,WNW,0%,0 mm,28.8Km/h,Pochmurno,19.8Km/h,297°,"8,5°  C",10 Km,83%,90%,2022-01-01 15:00:00
64,WNW,0%,0 mm,27.2Km/h,Pochmurno,18.4Km/h,293°,8°  C,10 Km,85%,93%,2022-01-01 16:00:00
65,WNW,0%,0 mm,25.7Km/h,Pochmurno,16.9Km/h,289°,"7,5°  C",10 Km,86%,97%,2022-01-01 17:00:00
66,WNW,0%,0 mm,24.1Km/h,Pochmurno,15.5Km/h,285°,7°  C,10 Km,87%,100%,2022-01-01 18:00:00
67,WNW,0%,0 mm,24.4Km/h,Pochmurno,15.6Km/h,284°,7°  C,10 Km,84%,100%,2022-01-01 19:00:00
68,WNW,0%,0 mm,24.6Km/h,Pochmurno,15.7Km/h,283°,7°  C,10 Km,82%,100%,2022-01-01 20:00:00
69,WNW,0%,0 mm,24.8Km/h,Pochmurno,15.8Km/h,282°,7°  C,10 Km,79%,100%,2022-01-01 21:00:00
70,WNW,0%,0 mm,21.4Km/h,Pochmurno,13.3Km/h,292°,5°  C,10 Km,80%,80%,2022-01-01 22:00:00
71,WNW,0%,0 mm,17.9Km/h,Częściowe zachmurzenie,10.8Km/h,303°,3°  C,10 Km,82%,60%,2022-01-01 23:00:00
72,W,0%,0 mm,23.4Km/h,Zachmurzenie,15.8Km/h,271°,(-1.2)°  C,10 Km,87%,56%,2020-01-02 00:00:00
73,W,0%,0 mm,23.2Km/h,Zachmurzenie,15.4Km/h,270°,(-0.8)°  C,10 Km,88%,47%,2020-01-02 01:00:00
74,W,0%,0 mm,22.9Km/h,Częściowe zachmurzenie,14.9Km/h,270°,(-0.5)°  C,10 Km,88%,38%,2020-01-02 02:00:00
75,W,0%,0 mm,22.7Km/h,Częściowe zachmurzenie,14.4Km/h,269°,(-0.1)°  C,10 Km,89%,29%,2020-01-02 03:00:00
76,W,0%,0 mm,23.6Km/h,Częściowe zachmurzenie,14.8Km/h,268°,0°  C,10 Km,87%,44%,2020-01-02 04:00:00
77,W,0%,0 mm,24.6Km/h,Częściowe zachmurzenie,15.1Km/h,268°,0°  C,10 Km,84%,58%,2020-01-02 05:00:00
78,W,0%,0 mm,25.6Km/h,Częściowe zachmurzenie,15.5Km/h,267°,"0,1°  C",10 Km,82%,73%,2020-01-02 06:00:00
79,W,0%,0 mm,27.1Km/h,Częściowe zachmurzenie,16.6Km/h,268°,"0,6°  C",10 Km,76%,64%,2020-01-02 07:00:00
80,W,0%,0 mm,28.7Km/h,Pochmurno,17.6Km/h,268°,"1,1°  C",10 Km,70%,54%,2020-01-02 08:00:00
81,W,0%,0 mm,30.2Km/h,Pochmurno,18.7Km/h,268°,"1,6°  C",10 Km,64%,45%,2020-01-02 09:00:00
82,W,0%,0 mm,30.2Km/h,Pochmurno,19Km/h,269°,"2,4°  C",10 Km,58%,34%,2020-01-02 10:00:00
83,W,0%,0 mm,30.2Km/h,Częściowe zachmurzenie,19.2Km/h,269°,"3,2°  C",10 Km,53%,24%,2020-01-02 11:00:00
84,W,0%,0 mm,30.2Km/h,Częściowe zachmurzenie,19.4Km/h,270°,4°  C,10 Km,47%,13%,2020-01-02 12:00:00
85,W,0%,0 mm,29.9Km/h,Częściowe zachmurzenie,18.4Km/h,268°,"3,8°  C",10 Km,47%,12%,2020-01-02 13:00:00
86,W,0%,0 mm,29.5Km/h,Częściowe zachmurzenie,17.3Km/h,266°,"3,6°  C",10 Km,46%,12%,2020-01-02 14:00:00
87,W,0%,0 mm,29.2Km/h,Częściowe zachmurzenie,16.2Km/h,264°,"3,4°  C",10 Km,46%,11%,2020-01-02 15:00:00
88,W,0%,0 mm,28.3Km/h,Częściowe zachmurzenie,15.1Km/h,263°,3°  C,10 Km,46%,13%,2020-01-02 16:00:00
89,W,0%,0 mm,27.5Km/h,Częściowe zachmurzenie,14Km/h,262°,"2,6°  C",10 Km,46%,14%,2020-01-02 17:00:00
90,W,0%,0 mm,26.6Km/h,Częściowe zachmurzenie,13Km/h,261°,"2,2°  C",10 Km,46%,16%,2020-01-02 18:00:00
91,WSW,0%,0 mm,24.7Km/h,Częściowe zachmurzenie,12Km/h,256°,"2,1°  C",10 Km,46%,13%,2020-01-02 19:00:00
92,WSW,0%,0 mm,22.8Km/h,Częściowe zachmurzenie,11Km/h,250°,2°  C,10 Km,45%,9%,2020-01-02 20:00:00
93,WSW,0%,0 mm,20.9Km/h,Częściowe zachmurzenie,10.1Km/h,244°,"1,9°  C",10 Km,45%,6%,2020-01-02 21:00:00
94,WSW,0%,0 mm,20.5Km/h,Częściowe zachmurzenie,9.8Km/h,237°,"1,8°  C",10 Km,44%,12%,2020-01-02 22:00:00
95,SW,0%,0 mm,20.2Km/h,Częściowe zachmurzenie,9.6Km/h,229°,"1,6°  C",10 Km,44%,19%,2020-01-02 23:00:00
96,S,0%,0 mm,16.2Km/h,Pochmurno,8.6Km/h,178°,(-0.2)°  C,10 Km,89%,67%,2021-01-02 00:00:00
97,S,0%,0 mm,15.4Km/h,Pochmurno,8.3Km/h,186°,"0,2°  C",10 Km,89%,57%,2021-01-02 01:00:00
98,SSW,0%,0 mm,14.5Km/h,Częściowe zachmurzenie,7.9Km/h,194°,"0,6°  C",10 Km,89%,46%,2021-01-02 02:00:00
99,SSW,0%,0 mm,13.7Km/h,Częściowe zachmurzenie,7.6Km/h,202°,1°  C,10 Km,88%,36%,2021-01-02 03:00:00
100,SSW,0%,0 mm,13.3Km/h,Częściowe zachmurzenie,7.6Km/h,211°,"0,7°  C",10 Km,89%,32%,2021-01-02 04:00:00
101,SW,0%,0 mm,13Km/h,Częściowe zachmurzenie,7.6Km/h,220°,"0,5°  C",10 Km,89%,28%,2021-01-02 05:00:00
102,SW,0%,0 mm,12.6Km/h,Częściowe zachmurzenie,7.6Km/h,229°,"0,2°  C",10 Km,89%,24%,2021-01-02 06:00:00
103,WSW,0%,0 mm,11.6Km/h,Częściowe zachmurzenie,7.2Km/h,239°,"0,3°  C",10 Km,88%,25%,2021-01-02 07:00:00
104,WSW,0%,0 mm,10.7Km/h,Częściowe zachmurzenie,6.8Km/h,249°,"0,5°  C",10 Km,87%,27%,2021-01-02 08:00:00
105,W,0%,0 mm,9.7Km/h,Częściowe zachmurzenie,6.5Km/h,259°,"0,6°  C",10 Km,87%,28%,2021-01-02 09:00:00
106,W,0%,0 mm,7.7Km/h,Częściowe zachmurzenie,5.3Km/h,266°,1°  C,10 Km,86%,36%,2021-01-02 10:00:00
107,W,0%,0 mm,5.6Km/h,Częściowe zachmurzenie,4.1Km/h,273°,"1,3°  C",10 Km,85%,43%,2021-01-02 11:00:00
108,WNW,0%,0 mm,3.6Km/h,Częściowe zachmurzenie,2.9Km/h,281°,"1,7°  C",10 Km,84%,51%,2021-01-02 12:00:00
109,SW,0%,0 mm,4.4Km/h,Częściowe zachmurzenie,3.2Km/h,235°,"1,6°  C",10 Km,84%,63%,2021-01-02 13:00:00
110,S,0%,0 mm,5.3Km/h,Częściowe zachmurzenie,3.6Km/h,190°,"1,6°  C",10 Km,85%,75%,2021-01-02 14:00:00
111,SE,0%,0 mm,6.1Km/h,Częściowe zachmurzenie,4Km/h,145°,"1,5°  C",10 Km,85%,87%,2021-01-02 15:00:00
112,ESE,0%,0 mm,8Km/h,Częściowe zachmurzenie,5.3Km/h,121°,"1,2°  C",8.2 Km,87%,91%,2021-01-02 16:00:00
113,E,0%,"0,0 mm",10Km/h,Pochmurno,6.6Km/h,97°,1°  C,6.5 Km,89%,96%,2021-01-02 17:00:00
114,ENE,0%,"0,0 mm",11.9Km/h,Pochmurno,7.9Km/h,72°,"0,7°  C",4.7 Km,92%,100%,2021-01-02 18:00:00
115,ENE,0%,"0,0 mm",12.1Km/h,Pochmurno,8Km/h,68°,(-0.7)°  C,5.6 Km,91%,100%,2021-01-02 19:00:00
116,ENE,0%,"0,0 mm",12.4Km/h,Mgła,8.2Km/h,63°,(-2.1)°  C,6.4 Km,90%,100%,2021-01-02 20:00:00
117,ENE,0%,"0,0 mm",12.6Km/h,Mgła,8.3Km/h,59°,(-3.5)°  C,7.3 Km,89%,100%,2021-01-02 21:00:00
118,ENE,0%,"0,0 mm",11.9Km/h,Mgła,7.4Km/h,69°,(-2.5)°  C,6.2 Km,90%,93%,2021-01-02 22:00:00
