,Kierunek wiatru,Możliwość opadów śniegu,Opad atmosferyczny,Podmuchy wiatru,Pogoda,Prędkość wiatru,Siła wiatru,Temperatura,Widoczność,Wilgotność,Zachmurzenie,Time
240,ENE,0%,"0,0 mm",21.6Km/h,Lekka mżawka,14.8Km/h,68°,0°  C,7.3 Km,89%,90%,2021-01-04 00:00:00
241,ENE,0%,"0,0 mm",20.9Km/h,Lekka mżawka,14.2Km/h,67°,"0,4°  C",8.2 Km,89%,85%,2021-01-04 01:00:00
242,ENE,0%,0 mm,20.2Km/h,Zachmurzenie,13.6Km/h,66°,"0,7°  C",9.1 Km,90%,79%,2021-01-04 02:00:00
243,ENE,0%,0 mm,19.4Km/h,Zachmurzenie,13Km/h,65°,"1,1°  C",10 Km,90%,74%,2021-01-04 03:00:00
244,ENE,0%,0 mm,17.6Km/h,Zachmurzenie,11.8Km/h,68°,"1,1°  C",10 Km,91%,79%,2021-01-04 04:00:00
245,ENE,0%,0 mm,15.8Km/h,Zachmurzenie,10.6Km/h,72°,"1,1°  C",10 Km,92%,84%,2021-01-04 05:00:00
246,ENE,0%,0 mm,14Km/h,Zachmurzenie,9.4Km/h,75°,"1,1°  C",10 Km,93%,90%,2021-01-04 06:00:00
247,ENE,0%,0 mm,12.2Km/h,Zachmurzenie,8.2Km/h,68°,"1,3°  C",8.2 Km,94%,93%,2021-01-04 07:00:00
248,ENE,0%,"0,0 mm",10.4Km/h,Pochmurno,7Km/h,61°,"1,5°  C",6.5 Km,95%,97%,2021-01-04 08:00:00
249,NE,0%,"0,0 mm",8.6Km/h,Pochmurno,5.8Km/h,54°,"1,7°  C",4.7 Km,96%,100%,2021-01-04 09:00:00
250,ESE,0%,"0,0 mm",8.9Km/h,Pochmurno,5.9Km/h,120°,"1,9°  C",3.8 Km,96%,100%,2021-01-04 10:00:00
251,S,0%,0 mm,9.1Km/h,Mgła,6Km/h,186°,"2,1°  C",2.9 Km,96%,100%,2021-01-04 11:00:00
252,WSW,0%,0 mm,9.4Km/h,Mgła,6.1Km/h,251°,"2,3°  C",2 Km,96%,100%,2021-01-04 12:00:00
253,SSW,0%,0 mm,10.1Km/h,Mgła,6.7Km/h,208°,"2,4°  C",2 Km,96%,100%,2021-01-04 13:00:00
254,SSE,0%,"0,0 mm",10.8Km/h,Mgła,7.3Km/h,164°,"2,5°  C",2 Km,96%,100%,2021-01-04 14:00:00
255,ESE,0%,"0,0 mm",11.5Km/h,Mgła,7.9Km/h,120°,"2,6°  C",2 Km,96%,100%,2021-01-04 15:00:00
256,E,0%,"0,0 mm",11.3Km/h,Mgła,7.7Km/h,81°,"2,5°  C",2 Km,96%,100%,2021-01-04 16:00:00
257,NE,0%,0 mm,11Km/h,Mgła,7.4Km/h,41°,"2,5°  C",2 Km,96%,100%,2021-01-04 17:00:00
258,N,0%,0 mm,10.8Km/h,Mgła,7.2Km/h,2°,"2,4°  C",2 Km,97%,100%,2021-01-04 18:00:00
259,N,0%,0 mm,10.9Km/h,Mgła,7.3Km/h,8°,1°  C,3.8 Km,96%,100%,2021-01-04 19:00:00
260,NNE,0%,0 mm,11Km/h,Mgła,7.4Km/h,13°,(-0.3)°  C,5.5 Km,95%,99%,2021-01-04 20:00:00
261,NNE,0%,0 mm,11.2Km/h,Mgła,7.6Km/h,18°,(-1.7)°  C,7.3 Km,95%,99%,2021-01-04 21:00:00
262,NNE,0%,0 mm,13.8Km/h,Mgła,9Km/h,29°,(-0.4)°  C,8.2 Km,94%,98%,2021-01-04 22:00:00
263,NE,0%,0 mm,16.4Km/h,Pochmurno,10.4Km/h,39°,1°  C,9.1 Km,94%,98%,2021-01-04 23:00:00
264,WSW,0%,0 mm,35.6Km/h,Zachmurzenie,24.1Km/h,255°,"6,7°  C",10 Km,78%,86%,2022-01-04 00:00:00
265,WSW,0%,0 mm,34.9Km/h,Zachmurzenie,23.5Km/h,255°,"6,4°  C",10 Km,79%,86%,2022-01-04 01:00:00
266,WSW,0%,0 mm,34.2Km/h,Pochmurno,22.9Km/h,254°,"6,2°  C",10 Km,81%,87%,2022-01-04 02:00:00
267,WSW,0%,0 mm,33.5Km/h,Pochmurno,22.3Km/h,253°,"5,9°  C",10 Km,82%,88%,2022-01-04 03:00:00
268,WSW,0%,0 mm,34.3Km/h,Pochmurno,22.9Km/h,252°,"5,9°  C",10 Km,81%,82%,2022-01-04 04:00:00
269,WSW,0%,0 mm,35.2Km/h,Zachmurzenie,23.5Km/h,251°,6°  C,10 Km,79%,76%,2022-01-04 05:00:00
270,WSW,0%,0 mm,36Km/h,Zachmurzenie,24.1Km/h,251°,6°  C,10 Km,78%,70%,2022-01-04 06:00:00
271,WSW,0%,0 mm,34.9Km/h,Zachmurzenie,23.4Km/h,243°,"5,9°  C",10 Km,79%,62%,2022-01-04 07:00:00
272,WSW,0%,0 mm,33.8Km/h,Częściowe zachmurzenie,22.7Km/h,236°,"5,9°  C",10 Km,80%,55%,2022-01-04 08:00:00
273,SW,0%,0 mm,32.8Km/h,Częściowe zachmurzenie,22Km/h,228°,"5,8°  C",10 Km,81%,48%,2022-01-04 09:00:00
274,SW,0%,0 mm,32.6Km/h,Częściowe zachmurzenie,22.7Km/h,229°,"6,4°  C",10 Km,80%,65%,2022-01-04 10:00:00
275,SW,0%,0 mm,32.5Km/h,Pochmurno,23.4Km/h,231°,"6,9°  C",10 Km,79%,83%,2022-01-04 11:00:00
276,SW,0%,0 mm,32.4Km/h,Pochmurno,24.1Km/h,232°,"7,5°  C",10 Km,77%,100%,2022-01-04 12:00:00
277,SW,0%,0 mm,29.6Km/h,Pochmurno,22.3Km/h,232°,"7,3°  C",10 Km,80%,100%,2022-01-04 13:00:00
278,SW,0%,"0,0 mm",26.9Km/h,Możliwe przelotne deszcze,20.5Km/h,233°,"7,2°  C",10 Km,83%,100%,2022-01-04 14:00:00
279,SW,0%,"0,0 mm",24.1Km/h,Możliwe przelotne deszcze,18.7Km/h,233°,7°  C,10 Km,86%,100%,2022-01-04 15:00:00
280,WSW,0%,"0,0 mm",20.6Km/h,Możliwe przelotne deszcze,15.8Km/h,251°,"6,4°  C",7.3 Km,88%,100%,2022-01-04 16:00:00
281,W,0%,"0,1 mm",17.2Km/h,Lekka mżawka,13Km/h,269°,"5,9°  C",4.7 Km,90%,100%,2022-01-04 17:00:00
282,WNW,0%,"0,1 mm",13.7Km/h,Lekka mżawka,10.1Km/h,287°,"5,3°  C",2 Km,92%,100%,2022-01-04 18:00:00
283,WNW,0%,"0,1 mm",12.8Km/h,Lekka mżawka,9.8Km/h,295°,"4,3°  C",2 Km,94%,100%,2022-01-04 19:00:00
284,WNW,0%,"0,1 mm",12Km/h,Obfite opady śniegu,9.6Km/h,303°,"3,3°  C",2 Km,96%,100%,2022-01-04 20:00:00
285,NW,0%,"0,2 mm",11.2Km/h,Obfite opady śniegu,9.4Km/h,311°,"2,3°  C",2 Km,98%,100%,2022-01-04 21:00:00
286,NW,0%,"0,1 mm",11.6Km/h,Obfite opady śniegu,9Km/h,306°,"3,3°  C",4.3 Km,98%,100%,2022-01-04 22:00:00
287,WNW,0%,"0,3 mm",12.1Km/h,Lekki deszcz,8.6Km/h,301°,"4,4°  C",6.7 Km,99%,100%,2022-01-04 23:00:00
288,NW,0%,"0,0 mm",34.9Km/h,Lekki śnieg,22.3Km/h,310°,"1,4°  C",10 Km,70%,84%,2020-01-05 00:00:00
289,NW,0%,"0,0 mm",35.2Km/h,Lekki śnieg,22.4Km/h,313°,"1,2°  C",10 Km,68%,72%,2020-01-05 01:00:00
290,NW,0%,0 mm,35.4Km/h,"Łagodny, lekki śnieg",22.6Km/h,316°,1°  C,10 Km,66%,60%,2020-01-05 02:00:00
291,NW,0%,0 mm,35.6Km/h,"Łagodny, lekki śnieg",22.7Km/h,319°,"0,8°  C",10 Km,65%,48%,2020-01-05 03:00:00
292,NW,0%,0 mm,35Km/h,"Łagodny, lekki śnieg",22.2Km/h,320°,"0,6°  C",10 Km,65%,43%,2020-01-05 04:00:00
293,NW,0%,0 mm,34.4Km/h,"Łagodny, lekki śnieg",21.7Km/h,320°,"0,4°  C",10 Km,66%,38%,2020-01-05 05:00:00
294,NW,0%,0 mm,33.8Km/h,"Łagodny, lekki śnieg",21.2Km/h,320°,"0,2°  C",10 Km,66%,33%,2020-01-05 06:00:00
295,NW,0%,0 mm,32.6Km/h,"Łagodny, lekki śnieg",21Km/h,320°,"0,4°  C",10 Km,66%,35%,2020-01-05 07:00:00
296,NW,0%,0 mm,31.4Km/h,"Łagodny, lekki śnieg",20.8Km/h,321°,"0,6°  C",10 Km,66%,37%,2020-01-05 08:00:00
297,NW,0%,0 mm,30.2Km/h,"Łagodny, lekki śnieg",20.5Km/h,321°,"0,8°  C",10 Km,66%,39%,2020-01-05 09:00:00
298,NW,0%,0 mm,29.2Km/h,"Łagodny, lekki śnieg",20.2Km/h,322°,"1,2°  C",10 Km,64%,50%,2020-01-05 10:00:00
299,NW,0%,"0,0 mm",28.1Km/h,Częściowe zachmurzenie,19.8Km/h,322°,"1,5°  C",10 Km,62%,62%,2020-01-05 11:00:00
300,NW,0%,"0,0 mm",27Km/h,Częściowe zachmurzenie,19.4Km/h,323°,"1,9°  C",10 Km,61%,74%,2020-01-05 12:00:00
301,NW,0%,"0,0 mm",24.8Km/h,Częściowe zachmurzenie,17.5Km/h,318°,"1,6°  C",10 Km,61%,65%,2020-01-05 13:00:00
302,NW,0%,0 mm,22.7Km/h,Lekkie przelotne opady śniegu,15.6Km/h,312°,"1,4°  C",10 Km,62%,56%,2020-01-05 14:00:00
303,NW,0%,0 mm,20.5Km/h,Lekkie przelotne opady śniegu,13.7Km/h,307°,"1,1°  C",10 Km,63%,47%,2020-01-05 15:00:00
304,WNW,0%,0 mm,19.4Km/h,Lekkie przelotne opady śniegu,12.6Km/h,301°,"0,7°  C",10 Km,64%,38%,2020-01-05 16:00:00
305,WNW,0%,0 mm,18.4Km/h,Częściowe zachmurzenie,11.5Km/h,295°,"0,4°  C",10 Km,65%,29%,2020-01-05 17:00:00
306,WNW,0%,0 mm,17.3Km/h,Częściowe zachmurzenie,10.4Km/h,289°,0°  C,10 Km,66%,21%,2020-01-05 18:00:00
307,WNW,0%,0 mm,16.8Km/h,Częściowe zachmurzenie,10.3Km/h,283°,(-0.1)°  C,10 Km,67%,22%,2020-01-05 19:00:00
308,W,0%,0 mm,16.3Km/h,Częściowe zachmurzenie,10.2Km/h,277°,(-0.3)°  C,10 Km,69%,24%,2020-01-05 20:00:00
309,W,0%,0 mm,15.8Km/h,Częściowe zachmurzenie,10.1Km/h,271°,(-0.4)°  C,10 Km,71%,26%,2020-01-05 21:00:00
310,W,0%,0 mm,15.4Km/h,Częściowe zachmurzenie,9.8Km/h,265°,(-0.4)°  C,10 Km,71%,24%,2020-01-05 22:00:00
311,W,0%,0 mm,14.9Km/h,Częściowe zachmurzenie,9.6Km/h,259°,(-0.5)°  C,10 Km,72%,22%,2020-01-05 23:00:00
312,NE,0%,0 mm,19.1Km/h,Pochmurno,11.9Km/h,50°,"2,3°  C",10 Km,93%,98%,2021-01-05 00:00:00
313,NE,0%,0 mm,20.3Km/h,Pochmurno,12.8Km/h,48°,"2,4°  C",10 Km,93%,99%,2021-01-05 01:00:00
314,NE,0%,"0,0 mm",21.5Km/h,Pochmurno,13.8Km/h,47°,"2,6°  C",10 Km,93%,99%,2021-01-05 02:00:00
315,NE,0%,"0,0 mm",22.7Km/h,Pochmurno,14.8Km/h,45°,"2,7°  C",10 Km,93%,100%,2021-01-05 03:00:00
316,NE,0%,"0,0 mm",24.7Km/h,Pochmurno,16.1Km/h,43°,"2,9°  C",8.2 Km,94%,100%,2021-01-05 04:00:00
317,NE,0%,"0,2 mm",26.8Km/h,Możliwe przelotne deszcze,17.4Km/h,42°,"3,1°  C",6.5 Km,94%,100%,2021-01-05 05:00:00
318,NE,0%,"0,2 mm",28.8Km/h,Możliwe przelotne deszcze,18.7Km/h,40°,"3,3°  C",4.7 Km,95%,100%,2021-01-05 06:00:00
319,NE,0%,"0,1 mm",30.4Km/h,Możliwe przelotne deszcze,19.8Km/h,41°,"3,6°  C",4.9 Km,95%,100%,2021-01-05 07:00:00
320,NE,0%,"0,7 mm",31.9Km/h,Lekka mżawka,20.9Km/h,41°,"3,9°  C",5.1 Km,95%,100%,2021-01-05 08:00:00
321,NE,0%,"0,9 mm",33.5Km/h,Lekka mżawka,22Km/h,42°,"4,2°  C",5.3 Km,95%,100%,2021-01-05 09:00:00
322,NE,0%,"0,4 mm",32.6Km/h,Lekka mżawka,21.4Km/h,49°,"4,5°  C",5.9 Km,95%,100%,2021-01-05 10:00:00
323,ENE,0%,"1,9 mm",31.8Km/h,Umiarkowane opady deszczu,20.8Km/h,57°,"4,7°  C",6.4 Km,95%,100%,2021-01-05 11:00:00
324,ENE,0%,"2,6 mm",31Km/h,Umiarkowane opady deszczu,20.2Km/h,64°,5°  C,7 Km,94%,100%,2021-01-05 12:00:00
325,ENE,0%,"1,3 mm",30.7Km/h,Umiarkowane opady deszczu,20.2Km/h,72°,5°  C,7.4 Km,93%,100%,2021-01-05 13:00:00
326,E,0%,"1,3 mm",30.5Km/h,Umiarkowane opady deszczu,20.2Km/h,80°,"5,1°  C",7.9 Km,92%,100%,2021-01-05 14:00:00
327,E,0%,"1,7 mm",30.2Km/h,Umiarkowane opady deszczu,20.2Km/h,88°,"5,1°  C",8.3 Km,91%,100%,2021-01-05 15:00:00
328,E,0%,"0,8 mm",30.6Km/h,Umiarkowane opady deszczu,20.5Km/h,90°,"4,9°  C",8.1 Km,90%,100%,2021-01-05 16:00:00
329,E,0%,1 mm,31Km/h,Lekki deszcz,20.9Km/h,93°,"4,8°  C",7.9 Km,89%,100%,2021-01-05 17:00:00
330,E,0%,"1,3 mm",31.3Km/h,Lekki deszcz,21.2Km/h,96°,"4,6°  C",7.7 Km,88%,100%,2021-01-05 18:00:00
331,E,0%,"0,7 mm",31.2Km/h,Lekki deszcz,21.1Km/h,100°,"3,4°  C",6.4 Km,88%,100%,2021-01-05 19:00:00
332,ESE,0%,"0,5 mm",31.1Km/h,Umiarkowane opady deszczu,21Km/h,103°,"2,3°  C",5 Km,88%,100%,2021-01-05 20:00:00
333,ESE,0%,"0,7 mm",31Km/h,Umiarkowane opady deszczu,20.9Km/h,106°,"1,1°  C",3.7 Km,88%,100%,2021-01-05 21:00:00
334,ESE,0%,"0,4 mm",29.2Km/h,Umiarkowane opady deszczu,19.7Km/h,105°,"1,5°  C",5.7 Km,89%,100%,2021-01-05 22:00:00
335,ESE,0%,"0,1 mm",27.4Km/h,Lekki deszcz,18.5Km/h,104°,"1,8°  C",7.7 Km,89%,100%,2021-01-05 23:00:00
336,WNW,0%,"0,4 mm",12.6Km/h,Lekki deszcz,8.3Km/h,296°,"5,4°  C",9 Km,99%,100%,2022-01-05 00:00:00
337,WNW,0%,"0,2 mm",15.4Km/h,Lekki deszcz,10.6Km/h,295°,"5,2°  C",9.3 Km,96%,100%,2022-01-05 01:00:00
338,WNW,0%,0 mm,18.1Km/h,Pochmurno,12.8Km/h,293°,"5,1°  C",9.7 Km,93%,100%,2022-01-05 02:00:00
339,WNW,0%,0 mm,20.9Km/h,Pochmurno,15.1Km/h,292°,"4,9°  C",10 Km,91%,100%,2022-01-05 03:00:00
340,WNW,0%,0 mm,21.2Km/h,Pochmurno,15.4Km/h,285°,5°  C,10 Km,89%,100%,2022-01-05 04:00:00
341,W,0%,"0,0 mm",21.6Km/h,Możliwe przelotne deszcze,15.6Km/h,278°,"5,1°  C",10 Km,88%,100%,2022-01-05 05:00:00
342,W,0%,"0,0 mm",22Km/h,Możliwe przelotne deszcze,15.8Km/h,271°,"5,2°  C",10 Km,87%,100%,2022-01-05 06:00:00
343,W,0%,"0,0 mm",21.1Km/h,Możliwe przelotne deszcze,15.4Km/h,272°,"4,9°  C",10 Km,83%,89%,2022-01-05 07:00:00
344,W,0%,0 mm,20.3Km/h,Zachmurzenie,14.9Km/h,274°,"4,7°  C",10 Km,80%,78%,2022-01-05 08:00:00
345,W,0%,0 mm,19.4Km/h,Zachmurzenie,14.4Km/h,275°,"4,4°  C",10 Km,76%,66%,2022-01-05 09:00:00
346,W,0%,0 mm,19.8Km/h,Zachmurzenie,15.4Km/h,270°,"4,5°  C",10 Km,75%,59%,2022-01-05 10:00:00
347,W,0%,0 mm,20.2Km/h,Częściowe zachmurzenie,16.3Km/h,266°,"4,6°  C",10 Km,74%,52%,2022-01-05 11:00:00
348,W,0%,0 mm,20.5Km/h,Częściowe zachmurzenie,17.3Km/h,261°,"4,7°  C",10 Km,73%,45%,2022-01-05 12:00:00
349,WSW,0%,0 mm,20.6Km/h,Częściowe zachmurzenie,17Km/h,257°,"4,6°  C",10 Km,71%,45%,2022-01-05 13:00:00
350,WSW,0%,0 mm,20.8Km/h,Częściowe zachmurzenie,16.8Km/h,253°,"4,4°  C",10 Km,69%,44%,2022-01-05 14:00:00
351,WSW,0%,0 mm,20.9Km/h,Częściowe zachmurzenie,16.6Km/h,248°,"4,3°  C",10 Km,68%,43%,2022-01-05 15:00:00
352,WSW,0%,0 mm,21.4Km/h,Częściowe zachmurzenie,17.2Km/h,247°,"4,2°  C",10 Km,69%,37%,2022-01-05 16:00:00
353,WSW,0%,0 mm,21.8Km/h,Bezchmurnie,17.8Km/h,246°,4°  C,10 Km,69%,30%,2022-01-05 17:00:00
354,WSW,0%,0 mm,22.3Km/h,Bezchmurnie,18.4Km/h,245°,"3,9°  C",10 Km,70%,24%,2022-01-05 18:00:00
355,WSW,0%,0 mm,25.4Km/h,Bezchmurnie,19.7Km/h,248°,"3,5°  C",10 Km,70%,48%,2022-01-05 19:00:00
356,WSW,0%,0 mm,28.6Km/h,Pochmurno,21Km/h,252°,"3,2°  C",10 Km,71%,73%,2022-01-05 20:00:00
357,WSW,0%,0 mm,31.7Km/h,Pochmurno,22.3Km/h,255°,"2,8°  C",10 Km,71%,98%,2022-01-05 21:00:00
358,WSW,0%,0 mm,34.2Km/h,Pochmurno,23.9Km/h,251°,"2,6°  C",10 Km,73%,99%,2022-01-05 22:00:00
359,WSW,0%,0 mm,36.7Km/h,Pochmurno,25.4Km/h,247°,"2,4°  C",10 Km,74%,99%,2022-01-05 23:00:00
